district,crop_name,season_type,season_year,target_hectares,committed_hectares,source
Monaragala,Carrot,Maha,2016,53.6,50.9,synthetic_proxy
Mullaitivu,Carrot,Maha,2016,31.3,31.0,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2016,111.3,88.8,synthetic_proxy
Polonnaruwa,Carrot,Maha,2016,37.6,31.1,synthetic_proxy
Puttalam,Carrot,Maha,2016,43.0,36.1,synthetic_proxy
Ratnapura,Carrot,Maha,2016,102.4,90.2,synthetic_proxy
Trincomalee,Carrot,Maha,2016,32.0,33.5,synthetic_proxy
Vavuniya,Carrot,Maha,2016,35.2,31.4,synthetic_proxy
Ampara,Carrot,Yala,2016,63.4,60.5,synthetic_proxy
Anuradhapura,Carrot,Yala,2016,58.9,68.1,synthetic_proxy
Badulla,Carrot,Yala,2016,149.6,143.2,synthetic_proxy
Batticaloa,Carrot,Yala,2016,28.0,30.4,synthetic_proxy
Colombo,Carrot,Yala,2016,139.2,123.6,synthetic_proxy
Galle,Carrot,Yala,2016,33.2,32.4,synthetic_proxy
Gampaha,Carrot,Yala,2016,55.8,49.5,synthetic_proxy
Hambantota,Carrot,Yala,2016,95.7,91.8,synthetic_proxy
Jaffna,Carrot,Yala,2016,45.5,50.0,synthetic_proxy
Kalutara,Carrot,Yala,2016,33.5,26.6,synthetic_proxy
Kandy,Carrot,Yala,2016,69.9,73.5,synthetic_proxy
Kegalle,Carrot,Yala,2016,36.1,37.1,synthetic_proxy
Kilinochchi,Carrot,Yala,2016,26.3,24.4,synthetic_proxy
Kurunegala,Carrot,Yala,2016,125.6,103.8,synthetic_proxy
Mannar,Carrot,Yala,2016,31.6,31.8,synthetic_proxy
Matale,Carrot,Yala,2016,82.9,77.6,synthetic_proxy
Matara,Carrot,Yala,2016,46.6,47.9,synthetic_proxy
Monaragala,Carrot,Yala,2016,46.0,46.1,synthetic_proxy
Mullaitivu,Carrot,Yala,2016,26.9,32.1,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2016,95.5,92.8,synthetic_proxy
Polonnaruwa,Carrot,Yala,2016,32.3,28.3,synthetic_proxy
Puttalam,Carrot,Yala,2016,36.9,37.7,synthetic_proxy
Ratnapura,Carrot,Yala,2016,87.9,90.2,synthetic_proxy
Trincomalee,Carrot,Yala,2016,27.5,31.9,synthetic_proxy
Vavuniya,Carrot,Yala,2016,30.2,33.2,synthetic_proxy
Ampara,Carrot,Maha,2017,74.9,78.1,synthetic_proxy
Anuradhapura,Carrot,Maha,2017,69.6,81.8,synthetic_proxy
Badulla,Carrot,Maha,2017,176.7,151.5,synthetic_proxy
Batticaloa,Carrot,Maha,2017,33.0,30.5,synthetic_proxy
Colombo,Carrot,Maha,2017,164.4,146.1,synthetic_proxy
Galle,Carrot,Maha,2017,39.2,37.4,synthetic_proxy
Gampaha,Carrot,Maha,2017,65.9,55.0,synthetic_proxy
Hambantota,Carrot,Maha,2017,113.0,121.6,synthetic_proxy
Jaffna,Carrot,Maha,2017,53.7,52.3,synthetic_proxy
Kalutara,Carrot,Maha,2017,39.6,32.6,synthetic_proxy
Kandy,Carrot,Maha,2017,82.6,72.5,synthetic_proxy
Kegalle,Carrot,Maha,2017,42.7,44.3,synthetic_proxy
Kilinochchi,Carrot,Maha,2017,31.0,34.1,synthetic_proxy
Kurunegala,Carrot,Maha,2017,148.4,183.9,synthetic_proxy
Mannar,Carrot,Maha,2017,37.3,50.3,synthetic_proxy
Matale,Carrot,Maha,2017,97.9,102.8,synthetic_proxy
Matara,Carrot,Maha,2017,55.0,48.5,synthetic_proxy
Monaragala,Carrot,Maha,2017,54.3,40.4,synthetic_proxy
Mullaitivu,Carrot,Maha,2017,31.8,32.8,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2017,112.8,101.8,synthetic_proxy
Polonnaruwa,Carrot,Maha,2017,38.1,36.2,synthetic_proxy
Puttalam,Carrot,Maha,2017,43.5,40.3,synthetic_proxy
Ratnapura,Carrot,Maha,2017,103.8,102.1,synthetic_proxy
Trincomalee,Carrot,Maha,2017,32.4,36.6,synthetic_proxy
Vavuniya,Carrot,Maha,2017,35.7,36.3,synthetic_proxy
Ampara,Carrot,Yala,2017,73.6,72.2,synthetic_proxy
Anuradhapura,Carrot,Yala,2017,68.4,59.9,synthetic_proxy
Badulla,Carrot,Yala,2017,173.7,138.8,synthetic_proxy
Batticaloa,Carrot,Yala,2017,32.5,30.6,synthetic_proxy
Colombo,Carrot,Yala,2017,161.6,160.5,synthetic_proxy
Galle,Carrot,Yala,2017,38.6,46.7,synthetic_proxy
Gampaha,Carrot,Yala,2017,64.8,65.8,synthetic_proxy
Hambantota,Carrot,Yala,2017,111.0,124.1,synthetic_proxy
Jaffna,Carrot,Yala,2017,52.8,49.6,synthetic_proxy
Kalutara,Carrot,Yala,2017,38.9,33.4,synthetic_proxy
Kandy,Carrot,Yala,2017,81.1,71.7,synthetic_proxy
Kegalle,Carrot,Yala,2017,41.9,38.3,synthetic_proxy
Kilinochchi,Carrot,Yala,2017,30.5,38.3,synthetic_proxy
Kurunegala,Carrot,Yala,2017,145.8,131.4,synthetic_proxy
Mannar,Carrot,Yala,2017,36.6,40.3,synthetic_proxy
Matale,Carrot,Yala,2017,96.2,85.8,synthetic_proxy
Matara,Carrot,Yala,2017,54.1,60.1,synthetic_proxy
Monaragala,Carrot,Yala,2017,53.4,55.8,synthetic_proxy
Mullaitivu,Carrot,Yala,2017,31.2,30.6,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2017,110.9,110.4,synthetic_proxy
Polonnaruwa,Carrot,Yala,2017,37.5,34.5,synthetic_proxy
Puttalam,Carrot,Yala,2017,42.8,45.1,synthetic_proxy
Ratnapura,Carrot,Yala,2017,102.0,96.5,synthetic_proxy
Trincomalee,Carrot,Yala,2017,31.9,27.2,synthetic_proxy
Vavuniya,Carrot,Yala,2017,35.0,29.7,synthetic_proxy
Ampara,Carrot,Maha,2018,84.0,85.8,synthetic_proxy
Anuradhapura,Carrot,Maha,2018,78.1,92.9,synthetic_proxy
Badulla,Carrot,Maha,2018,198.3,202.1,synthetic_proxy
Batticaloa,Carrot,Maha,2018,37.1,36.5,synthetic_proxy
Colombo,Carrot,Maha,2018,184.5,190.8,synthetic_proxy
Galle,Carrot,Maha,2018,44.0,50.9,synthetic_proxy
Gampaha,Carrot,Maha,2018,74.0,75.9,synthetic_proxy
Hambantota,Carrot,Maha,2018,126.8,120.5,synthetic_proxy
Jaffna,Carrot,Maha,2018,60.3,68.3,synthetic_proxy
Kalutara,Carrot,Maha,2018,44.4,46.7,synthetic_proxy
Kandy,Carrot,Maha,2018,92.6,109.7,synthetic_proxy
Kegalle,Carrot,Maha,2018,47.9,48.9,synthetic_proxy
Kilinochchi,Carrot,Maha,2018,34.8,29.7,synthetic_proxy
Kurunegala,Carrot,Maha,2018,166.5,139.2,synthetic_proxy
Mannar,Carrot,Maha,2018,41.8,50.1,synthetic_proxy
Matale,Carrot,Maha,2018,109.9,132.6,synthetic_proxy
Matara,Carrot,Maha,2018,61.8,60.4,synthetic_proxy
Monaragala,Carrot,Maha,2018,60.9,58.1,synthetic_proxy
Mullaitivu,Carrot,Maha,2018,35.6,41.9,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2018,126.6,109.8,synthetic_proxy
Polonnaruwa,Carrot,Maha,2018,42.8,38.2,synthetic_proxy
Puttalam,Carrot,Maha,2018,48.9,52.6,synthetic_proxy
Ratnapura,Carrot,Maha,2018,116.5,111.0,synthetic_proxy
Trincomalee,Carrot,Maha,2018,36.4,36.4,synthetic_proxy
Vavuniya,Carrot,Maha,2018,40.0,39.2,synthetic_proxy
Ampara,Carrot,Yala,2018,77.7,80.9,synthetic_proxy
Anuradhapura,Carrot,Yala,2018,72.2,84.4,synthetic_proxy
Badulla,Carrot,Yala,2018,183.4,185.4,synthetic_proxy
Batticaloa,Carrot,Yala,2018,34.3,36.9,synthetic_proxy
Colombo,Carrot,Yala,2018,170.6,128.6,synthetic_proxy
Galle,Carrot,Yala,2018,40.7,40.5,synthetic_proxy
Gampaha,Carrot,Yala,2018,68.4,61.5,synthetic_proxy
Hambantota,Carrot,Yala,2018,117.3,100.1,synthetic_proxy
Jaffna,Carrot,Yala,2018,55.7,49.9,synthetic_proxy
Kalutara,Carrot,Yala,2018,41.1,39.4,synthetic_proxy
Kandy,Carrot,Yala,2018,85.7,95.1,synthetic_proxy
Kegalle,Carrot,Yala,2018,44.3,37.2,synthetic_proxy
Kilinochchi,Carrot,Yala,2018,32.2,32.3,synthetic_proxy
Kurunegala,Carrot,Yala,2018,154.0,145.0,synthetic_proxy
Mannar,Carrot,Yala,2018,38.7,37.2,synthetic_proxy
Matale,Carrot,Yala,2018,101.6,113.8,synthetic_proxy
Matara,Carrot,Yala,2018,57.1,60.8,synthetic_proxy
Monaragala,Carrot,Yala,2018,56.4,65.4,synthetic_proxy
Mullaitivu,Carrot,Yala,2018,33.0,32.4,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2018,117.1,107.3,synthetic_proxy
Polonnaruwa,Carrot,Yala,2018,39.6,38.5,synthetic_proxy
Puttalam,Carrot,Yala,2018,45.2,46.5,synthetic_proxy
Ratnapura,Carrot,Yala,2018,107.8,110.0,synthetic_proxy
Trincomalee,Carrot,Yala,2018,33.7,29.3,synthetic_proxy
Vavuniya,Carrot,Yala,2018,37.0,37.4,synthetic_proxy
Ampara,Carrot,Maha,2019,89.9,92.3,synthetic_proxy
Anuradhapura,Carrot,Maha,2019,83.5,108.7,synthetic_proxy
Badulla,Carrot,Maha,2019,212.1,259.8,synthetic_proxy
Batticaloa,Carrot,Maha,2019,39.7,35.6,synthetic_proxy
Colombo,Carrot,Maha,2019,197.3,190.5,synthetic_proxy
Galle,Carrot,Maha,2019,47.1,38.8,synthetic_proxy
Gampaha,Carrot,Maha,2019,79.1,73.5,synthetic_proxy
Hambantota,Carrot,Maha,2019,135.6,140.7,synthetic_proxy
Jaffna,Carrot,Maha,2019,64.4,73.8,synthetic_proxy
Kalutara,Carrot,Maha,2019,47.5,43.3,synthetic_proxy
Kandy,Carrot,Maha,2019,99.1,91.3,synthetic_proxy
Kegalle,Carrot,Maha,2019,51.2,38.0,synthetic_proxy
Kilinochchi,Carrot,Maha,2019,37.2,36.5,synthetic_proxy
Kurunegala,Carrot,Maha,2019,178.1,155.4,synthetic_proxy
Mannar,Carrot,Maha,2019,44.7,41.9,synthetic_proxy
Matale,Carrot,Maha,2019,117.5,105.1,synthetic_proxy
Matara,Carrot,Maha,2019,66.1,65.3,synthetic_proxy
Monaragala,Carrot,Maha,2019,65.2,51.4,synthetic_proxy
Mullaitivu,Carrot,Maha,2019,38.1,31.4,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2019,135.4,170.0,synthetic_proxy
Polonnaruwa,Carrot,Maha,2019,45.8,38.7,synthetic_proxy
Puttalam,Carrot,Maha,2019,52.2,45.4,synthetic_proxy
Ratnapura,Carrot,Maha,2019,124.6,152.1,synthetic_proxy
Trincomalee,Carrot,Maha,2019,38.9,52.5,synthetic_proxy
Vavuniya,Carrot,Maha,2019,42.8,36.8,synthetic_proxy
Ampara,Carrot,Yala,2019,101.7,97.2,synthetic_proxy
Anuradhapura,Carrot,Yala,2019,94.5,98.4,synthetic_proxy
Badulla,Carrot,Yala,2019,240.0,289.8,synthetic_proxy
Batticaloa,Carrot,Yala,2019,44.9,39.6,synthetic_proxy
Colombo,Carrot,Yala,2019,223.3,216.7,synthetic_proxy
Galle,Carrot,Yala,2019,53.3,58.3,synthetic_proxy
Gampaha,Carrot,Yala,2019,89.6,94.2,synthetic_proxy
Hambantota,Carrot,Yala,2019,153.4,146.5,synthetic_proxy
Jaffna,Carrot,Yala,2019,72.9,71.8,synthetic_proxy
Kalutara,Carrot,Yala,2019,53.7,44.9,synthetic_proxy
Kandy,Carrot,Yala,2019,112.1,108.9,synthetic_proxy
Kegalle,Carrot,Yala,2019,57.9,56.1,synthetic_proxy
Kilinochchi,Carrot,Yala,2019,42.1,43.3,synthetic_proxy
Kurunegala,Carrot,Yala,2019,201.5,188.1,synthetic_proxy
Mannar,Carrot,Yala,2019,50.6,53.5,synthetic_proxy
Matale,Carrot,Yala,2019,133.0,149.1,synthetic_proxy
Matara,Carrot,Yala,2019,74.8,76.2,synthetic_proxy
Monaragala,Carrot,Yala,2019,73.8,76.9,synthetic_proxy
Mullaitivu,Carrot,Yala,2019,43.1,43.4,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2019,153.3,153.3,synthetic_proxy
Polonnaruwa,Carrot,Yala,2019,51.8,47.3,synthetic_proxy
Puttalam,Carrot,Yala,2019,59.1,61.4,synthetic_proxy
Ratnapura,Carrot,Yala,2019,141.0,139.4,synthetic_proxy
Trincomalee,Carrot,Yala,2019,44.1,55.1,synthetic_proxy
Vavuniya,Carrot,Yala,2019,48.4,57.6,synthetic_proxy
Ampara,Carrot,Maha,2020,71.7,75.0,synthetic_proxy
Anuradhapura,Carrot,Maha,2020,66.6,60.5,synthetic_proxy
Badulla,Carrot,Maha,2020,169.1,146.6,synthetic_proxy
Batticaloa,Carrot,Maha,2020,31.6,36.1,synthetic_proxy
Colombo,Carrot,Maha,2020,157.4,162.3,synthetic_proxy
Galle,Carrot,Maha,2020,37.6,39.7,synthetic_proxy
Gampaha,Carrot,Maha,2020,63.1,49.9,synthetic_proxy
Hambantota,Carrot,Maha,2020,108.1,120.2,synthetic_proxy
Jaffna,Carrot,Maha,2020,51.4,54.2,synthetic_proxy
Kalutara,Carrot,Maha,2020,37.9,32.8,synthetic_proxy
Kandy,Carrot,Maha,2020,79.0,74.6,synthetic_proxy
Kegalle,Carrot,Maha,2020,40.8,42.1,synthetic_proxy
Kilinochchi,Carrot,Maha,2020,29.7,29.9,synthetic_proxy
Kurunegala,Carrot,Maha,2020,142.0,137.0,synthetic_proxy
Mannar,Carrot,Maha,2020,35.7,35.2,synthetic_proxy
Matale,Carrot,Maha,2020,93.7,90.9,synthetic_proxy
Matara,Carrot,Maha,2020,52.7,53.7,synthetic_proxy
Monaragala,Carrot,Maha,2020,52.0,61.2,synthetic_proxy
Mullaitivu,Carrot,Maha,2020,30.4,21.0,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2020,108.0,104.9,synthetic_proxy
Polonnaruwa,Carrot,Maha,2020,36.5,37.3,synthetic_proxy
Puttalam,Carrot,Maha,2020,41.7,43.2,synthetic_proxy
Ratnapura,Carrot,Maha,2020,99.4,95.0,synthetic_proxy
Trincomalee,Carrot,Maha,2020,31.0,24.5,synthetic_proxy
Vavuniya,Carrot,Maha,2020,34.1,35.5,synthetic_proxy
Ampara,Carrot,Yala,2020,79.9,96.5,synthetic_proxy
Anuradhapura,Carrot,Yala,2020,74.2,60.6,synthetic_proxy
Badulla,Carrot,Yala,2020,188.5,208.1,synthetic_proxy
Batticaloa,Carrot,Yala,2020,35.3,33.9,synthetic_proxy
Colombo,Carrot,Yala,2020,175.4,174.1,synthetic_proxy
Galle,Carrot,Yala,2020,41.9,36.6,synthetic_proxy
Gampaha,Carrot,Yala,2020,70.4,67.5,synthetic_proxy
Hambantota,Carrot,Yala,2020,120.5,139.3,synthetic_proxy
Jaffna,Carrot,Yala,2020,57.3,61.3,synthetic_proxy
Kalutara,Carrot,Yala,2020,42.2,51.0,synthetic_proxy
Kandy,Carrot,Yala,2020,88.1,100.5,synthetic_proxy
Kegalle,Carrot,Yala,2020,45.5,47.9,synthetic_proxy
Kilinochchi,Carrot,Yala,2020,33.1,40.0,synthetic_proxy
Kurunegala,Carrot,Yala,2020,158.3,166.6,synthetic_proxy
Mannar,Carrot,Yala,2020,39.8,43.7,synthetic_proxy
Matale,Carrot,Yala,2020,104.5,100.7,synthetic_proxy
Matara,Carrot,Yala,2020,58.7,59.2,synthetic_proxy
Monaragala,Carrot,Yala,2020,57.9,53.1,synthetic_proxy
Mullaitivu,Carrot,Yala,2020,33.9,37.9,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2020,120.4,103.4,synthetic_proxy
Polonnaruwa,Carrot,Yala,2020,40.7,44.5,synthetic_proxy
Puttalam,Carrot,Yala,2020,46.5,45.4,synthetic_proxy
Ratnapura,Carrot,Yala,2020,110.8,126.3,synthetic_proxy
Trincomalee,Carrot,Yala,2020,34.6,37.7,synthetic_proxy
Vavuniya,Carrot,Yala,2020,38.1,46.4,synthetic_proxy
Ampara,Carrot,Maha,2021,73.2,79.6,synthetic_proxy
Anuradhapura,Carrot,Maha,2021,68.0,55.2,synthetic_proxy
Badulla,Carrot,Maha,2021,172.7,171.3,synthetic_proxy
Batticaloa,Carrot,Maha,2021,32.3,27.8,synthetic_proxy
Colombo,Carrot,Maha,2021,160.7,150.7,synthetic_proxy
Galle,Carrot,Maha,2021,38.3,45.3,synthetic_proxy
Gampaha,Carrot,Maha,2021,64.5,69.4,synthetic_proxy
Hambantota,Carrot,Maha,2021,110.4,101.2,synthetic_proxy
Jaffna,Carrot,Maha,2021,52.5,46.1,synthetic_proxy
Kalutara,Carrot,Maha,2021,38.7,38.8,synthetic_proxy
Kandy,Carrot,Maha,2021,80.7,68.9,synthetic_proxy
Kegalle,Carrot,Maha,2021,41.7,38.3,synthetic_proxy
Kilinochchi,Carrot,Maha,2021,30.3,31.5,synthetic_proxy
Kurunegala,Carrot,Maha,2021,145.0,165.1,synthetic_proxy
Mannar,Carrot,Maha,2021,36.4,39.1,synthetic_proxy
Matale,Carrot,Maha,2021,95.7,69.4,synthetic_proxy
Matara,Carrot,Maha,2021,53.8,55.8,synthetic_proxy
Monaragala,Carrot,Maha,2021,53.1,53.5,synthetic_proxy
Mullaitivu,Carrot,Maha,2021,31.0,32.6,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2021,110.3,131.7,synthetic_proxy
Polonnaruwa,Carrot,Maha,2021,37.3,28.1,synthetic_proxy
Puttalam,Carrot,Maha,2021,42.6,39.5,synthetic_proxy
Ratnapura,Carrot,Maha,2021,101.5,108.7,synthetic_proxy
Trincomalee,Carrot,Maha,2021,31.7,25.7,synthetic_proxy
Vavuniya,Carrot,Maha,2021,34.9,41.0,synthetic_proxy
Ampara,Carrot,Yala,2021,111.9,116.8,synthetic_proxy
Anuradhapura,Carrot,Yala,2021,103.9,114.5,synthetic_proxy
Badulla,Carrot,Yala,2021,264.0,245.9,synthetic_proxy
Batticaloa,Carrot,Yala,2021,49.4,54.2,synthetic_proxy
Colombo,Carrot,Yala,2021,245.6,277.0,synthetic_proxy
Galle,Carrot,Yala,2021,58.6,60.2,synthetic_proxy
Gampaha,Carrot,Yala,2021,98.5,101.3,synthetic_proxy
Hambantota,Carrot,Yala,2021,168.8,174.2,synthetic_proxy
Jaffna,Carrot,Yala,2021,80.2,71.9,synthetic_proxy
Kalutara,Carrot,Yala,2021,59.1,58.1,synthetic_proxy
Kandy,Carrot,Yala,2021,123.3,121.1,synthetic_proxy
Kegalle,Carrot,Yala,2021,63.7,66.7,synthetic_proxy
Kilinochchi,Carrot,Yala,2021,46.3,51.9,synthetic_proxy
Kurunegala,Carrot,Yala,2021,221.6,193.5,synthetic_proxy
Mannar,Carrot,Yala,2021,55.7,54.9,synthetic_proxy
Matale,Carrot,Yala,2021,146.3,172.3,synthetic_proxy
Matara,Carrot,Yala,2021,82.2,74.9,synthetic_proxy
Monaragala,Carrot,Yala,2021,81.1,73.1,synthetic_proxy
Mullaitivu,Carrot,Yala,2021,47.4,48.6,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2021,168.6,185.6,synthetic_proxy
Polonnaruwa,Carrot,Yala,2021,57.0,57.1,synthetic_proxy
Puttalam,Carrot,Yala,2021,65.0,75.4,synthetic_proxy
Ratnapura,Carrot,Yala,2021,155.1,171.0,synthetic_proxy
Trincomalee,Carrot,Yala,2021,48.4,53.3,synthetic_proxy
Vavuniya,Carrot,Yala,2021,53.3,56.8,synthetic_proxy
Ampara,Carrot,Maha,2022,78.1,100.0,synthetic_proxy
Anuradhapura,Carrot,Maha,2022,72.6,70.8,synthetic_proxy
Badulla,Carrot,Maha,2022,184.4,140.0,synthetic_proxy
Batticaloa,Carrot,Maha,2022,34.5,41.1,synthetic_proxy
Colombo,Carrot,Maha,2022,171.5,162.1,synthetic_proxy
Galle,Carrot,Maha,2022,40.9,41.5,synthetic_proxy
Gampaha,Carrot,Maha,2022,68.8,79.6,synthetic_proxy
Hambantota,Carrot,Maha,2022,117.9,95.2,synthetic_proxy
Jaffna,Carrot,Maha,2022,56.0,47.6,synthetic_proxy
Kalutara,Carrot,Maha,2022,41.3,33.3,synthetic_proxy
Kandy,Carrot,Maha,2022,86.1,77.9,synthetic_proxy
Kegalle,Carrot,Maha,2022,44.5,46.9,synthetic_proxy
Kilinochchi,Carrot,Maha,2022,32.4,34.4,synthetic_proxy
Kurunegala,Carrot,Maha,2022,154.8,159.9,synthetic_proxy
Mannar,Carrot,Maha,2022,38.9,32.3,synthetic_proxy
Matale,Carrot,Maha,2022,102.1,73.8,synthetic_proxy
Matara,Carrot,Maha,2022,57.4,57.8,synthetic_proxy
Monaragala,Carrot,Maha,2022,56.7,53.4,synthetic_proxy
Mullaitivu,Carrot,Maha,2022,33.1,35.0,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2022,117.7,127.6,synthetic_proxy
